Unnamed: 0,ID WMO,:  97048,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Meteorologi Djalaluddin,,,,,,,,
,LINTANG,:  0.63850,,,,,,,,
,BUJUR,:  122.85250,,,,,,,,
,ELEVASI,:  33 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-11-2024,23.5,35.1,29.6,70,0,8,5,360,2,N
02-11-2024,24.3,34.9,29,73,0,8,4,360,2,N
03-11-2024,24.2,34.9,29,77,0,8,5,170,2,N
04-11-2024,24.9,32.2,27.8,82,0,7.5,6,180,2,SE
05-11-2024,23.2,34,27.8,78,3,2,5,180,2,S
06-11-2024,23.2,35.3,28.3,75,0,8,4,170,2,SE
07-11-2024,24.3,35,29,76,0,8,4,300,1,C
08-11-2024,24.3,35,27.9,87,6.5,6.7,5,200,1,C
09-11-2024,23.7,34.1,27.6,82,65.3,6.3,4,130,2,SE
10-11-2024,24.4,33.9,27.7,85,0,7.6,4,280,2,C
11-11-2024,24.3,34.3,27.9,83,1.8,6.8,3,110,1,C
12-11-2024,24.4,34.6,28.4,82,2.5,8,4,210,1,C
13-11-2024,24.8,34.3,28.9,78,4.5,5,5,250,2,E
14-11-2024,24.8,33.8,27.2,88,8888,7.5,4,10,2,E
15-11-2024,24.7,34.6,28.5,80,6.1,6.3,2,160,1,C
16-11-2024,24.9,35.6,28,89,1.8,6.9,4,120,1,C
17-11-2024,24.7,33.6,27.6,91,31.2,5.9,4,180,1,C
18-11-2024,25.4,33.9,27.4,88,0.1,6.5,4,320,1,C
19-11-2024,24.7,33.4,27.6,90,43.1,5,4,160,1,C
20-11-2024,24.6,32.7,27.2,89,9,7.1,3,350,1,C
21-11-2024,24.6,31.6,26.3,93,8888,4.1,4,10,2,C
22-11-2024,25,33.4,28,88,20.3,4.8,5,170,1,C
23-11-2024,25.4,35.1,27.9,86,0.6,4.2,3,350,1,S
24-11-2024,23.3,33.1,28.1,84,0.6,7.4,5,350,1,C
25-11-2024,25.7,34.2,28.7,87,2,6.3,3,190,1,C
26-11-2024,25.2,31.4,27.7,88,0.5,3.7,4,340,2,N
27-11-2024,24.9,34,28.1,87,2,3,6,10,2,C
28-11-2024,25.2,34.4,28.3,89,1,4.8,5,360,2,N
29-11-2024,25.6,33.1,28.8,84,1.5,6.7,5,330,2,S
30-11-2024,26.2,32.6,28.9,87,0,4.3,4,320,2,N
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
