01-03-2025,24.1,33.7,28.4,84,4.5,6.7,2,40,1,NE
02-03-2025,24,32.5,28.1,87,0,6.5,2,130,1,SW
03-03-2025,25.7,32.2,28.1,86,4.8,2.7,2,80,1,C
04-03-2025,25.8,32.9,28.8,83,0.2,5.1,3,120,1,E
05-03-2025,26.5,30.8,28.3,86,1.4,7.3,2,60,1,NE
06-03-2025,25.4,33.6,28.8,82,0,0,3,120,1,SW
07-03-2025,24.9,32.9,28.2,85,77.2,8,2,130,1,W
08-03-2025,25.4,29.2,26.9,91,5.8,7.1,1,70,0,C
09-03-2025,25,32.4,28.2,85,3.3,0,2,80,1,NE
10-03-2025,25.2,32.7,28.4,84,1,8,3,70,1,NE
11-03-2025,25.4,32.4,28.4,84,0.3,7.6,3,110,1,W
12-03-2025,24.9,31.8,27.6,84,0.8,6.7,3,70,1,NE
13-03-2025,25.3,31.2,27.2,88,0.2,4.5,2,130,1,C
14-03-2025,24.8,32.2,27.9,86,9.2,2.6,2,140,1,SW
15-03-2025,25.5,33.4,28.3,85,0.1,5.4,3,130,1,W
16-03-2025,25.6,33.7,28.8,83,18.9,6.8,2,240,1,SW
17-03-2025,26,31.2,28.3,83,0,6.5,2,40,1,SW
18-03-2025,26.4,32.8,28.5,86,0.2,0.2,3,120,1,C
19-03-2025,25.4,34.2,29,79,0.2,2.1,2,240,1,NE
20-03-2025,25.4,32.6,28.7,82,0.4,6.7,2,250,1,NE
21-03-2025,24.8,33.6,28.2,83,0,1.8,3,100,1,S
22-03-2025,25.2,29.6,26.9,90,31.1,5.5,2,270,1,C
23-03-2025,25.1,34,28.8,81,2.1,0,2,210,1,C
24-03-2025,25,31.8,28.1,87,0.9,7.6,2,110,1,NE
25-03-2025,24.8,31.5,28.3,87,1,1.2,2,50,1,E
26-03-2025,24.6,32,27.5,88,18.1,1.7,2,40,1,NE
27-03-2025,25.4,33,29.1,85,8888,0.3,3,60,1,NE
28-03-2025,26.4,33,29.1,84,8888,8,3,60,1,C
29-03-2025,26.6,32.4,28.7,84,0.3,8,3,130,1,NE
30-03-2025,25.6,30.8,27.9,86,5.5,4.9,2,90,1,NE
31-03-2025,26.1,32.2,28.5,84,0,2.6,2,130,1,SE
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
