Unnamed: 0,ID WMO,:  97028,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Meteorologi Sultan Bantilan,,,,,,,,
,LINTANG,:  1.12114,,,,,,,,
,BUJUR,:  120.79433,,,,,,,,
,ELEVASI,:  8 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-05-2025,24.6,32.7,28.5,84,0,8,5,230,2,NW
02-05-2025,23.6,31.9,27.4,87,19.5,8,4,330,2,NW
03-05-2025,25,32.1,28.2,86,4.9,6.8,3,300,1,NW
04-05-2025,24.5,32.3,28,86,0,6.2,3,330,1,NW
05-05-2025,25.6,32.2,29,89,0,8,3,310,1,C
06-05-2025,25,32.8,28.6,88,0.1,7.4,3,320,1,E
07-05-2025,25.1,32.3,28.4,86,0,8,4,330,2,NW
08-05-2025,25,32.7,28.7,87,0,8,4,340,2,E
09-05-2025,24.6,31.8,28.2,81,0,8,3,270,1,SE
10-05-2025,24.8,32.4,28.1,86,0,6.5,4,270,1,SE
11-05-2025,24.5,32.5,28,87,0,8,3,330,1,SE
12-05-2025,24.4,32.8,27.4,88,0,7.7,3,330,2,E
13-05-2025,24.8,32.7,28.6,83,5.4,8,3,330,2,E
14-05-2025,24.6,32.6,28.1,81,8888,6.7,3,310,2,NW
15-05-2025,25.2,31.2,27.6,86,8888,8,4,330,1,SE
16-05-2025,24.6,32.4,27.6,86,1.9,2.1,4,130,1,SE
17-05-2025,24.2,32.2,28.2,86,48.2,7.7,2,310,1,SE
18-05-2025,24.6,31.7,27.4,90,0,6.3,3,300,1,E
19-05-2025,24.4,31.4,27.7,86,1.4,6.3,3,110,2,SE
20-05-2025,25.1,31.7,28,86,8888,6.4,3,300,2,E
21-05-2025,24.2,29.4,25,97,6.4,7.2,6,330,2,SE
22-05-2025,22.5,32.6,27.7,83,37.1,0,3,300,1,SE
23-05-2025,24.8,31.5,28.5,86,0,8,3,300,1,SE
24-05-2025,25,33.4,29,84,8888,8,3,330,2,E
25-05-2025,25.7,31.4,28.7,87,0,8,5,330,2,E
26-05-2025,25.7,32.8,29,84,0.2,2.6,3,310,1,C
27-05-2025,25.1,32.7,27.4,90,0.4,7.5,6,80,1,C
28-05-2025,24.6,32.4,27.6,88,193.2,6.2,3,330,1,SE
29-05-2025,24.4,30.7,26.7,92,6.1,5.1,3,330,1,E
30-05-2025,24.2,31.5,26.9,87,11.2,0.7,4,340,2,SE
31-05-2025,24.6,31.5,27.2,89,17,5.2,4,110,1,E
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
