Unnamed: 0,ID WMO,:  97012,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Klimatologi Sulawesi Utara,,,,,,,,
,LINTANG,:  1.54585,,,,,,,,
,BUJUR,:  124.92330,,,,,,,,
,ELEVASI,:  84 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2025,24,31.5,27,89,3.7,4.2,2,220,0,C
02-01-2025,24.2,31.6,27.5,85,8888,2.2,1,250,1,W
03-01-2025,24.4,32.5,26.8,88,0,4,3,250,1,C
04-01-2025,23,31.6,26.2,89,0.5,5,3,250,1,W
05-01-2025,24.2,30.4,26.6,88,23,8,3,250,1,W
06-01-2025,23.6,32.6,27.5,84,1.7,3.6,2,250,1,W
07-01-2025,23.2,33,27.8,81,0,5.9,2,250,1,C
08-01-2025,21,31.4,26.6,90,0,8,2,270,1,C
09-01-2025,24.2,32,27,88,0,2.8,3,250,1,C
10-01-2025,22.6,32,27.7,86,0.8,5.3,3,270,1,W
11-01-2025,23.4,27.6,25.5,92,14.8,8,3,80,1,C
12-01-2025,22.4,31.2,26.5,86,16.5,0,3,270,1,W
13-01-2025,22.6,30.5,25.6,93,6,7.4,2,250,1,C
14-01-2025,23.8,29.6,25.4,93,10.2,2.9,2,60,0,C
15-01-2025,23.8,31,25.8,94,5.9,0.2,2,30,0,C
16-01-2025,23.8,30.4,26.4,89,34.3,2.3,3,180,1,S
17-01-2025,23.8,28,25.9,92,3.4,3,3,50,1,NE
18-01-2025,24.1,31,27,86,50.5,0,3,20,2,NE
19-01-2025,24.4,30.8,26.2,92,15,2.1,3,40,1,C
20-01-2025,23.6,30.6,25.5,94,36.2,1.4,2,270,1,W
21-01-2025,24.6,31.4,26.4,88,18.5,3.9,3,260,1,W
22-01-2025,23.8,29.3,25.4,92,3.9,2.4,2,270,1,C
23-01-2025,23.2,29.8,24.6,96,19.8,0,3,270,1,W
24-01-2025,23.2,30.6,26.5,89,28.5,2,3,260,1,W
25-01-2025,24.2,31,25.7,92,0.5,4.1,4,250,2,W
26-01-2025,23.8,29.8,26.2,88,93.7,6.3,2,260,1,W
27-01-2025,23.6,28,24.6,93,0.7,2.3,2,50,1,C
28-01-2025,23.4,31.9,25.8,87,2.6,0,3,190,1,S
29-01-2025,22.6,31.8,25.8,91,59.5,4.4,2,30,1,C
30-01-2025,23,31.4,25.7,91,5.6,5.1,2,270,0,C
31-01-2025,24.2,31,26.8,88,17.2,3.1,2,270,1,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
